"","GO.ID","Term","Annotated","Significant","Expected","raw.p.value"
"40","GO:0032727","positive regulation of interferon-alpha production",22,22,21.86,"0.00210"
"41","GO:0051693","actin filament capping",33,32,32.8,"0.00211"
"42","GO:0008283","cell population proliferation",1363,1354,1354.61,"0.00221"
"43","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity",64,64,63.61,"0.00223"
"44","GO:0097028","dendritic cell differentiation",31,31,30.81,"0.00227"
"45","GO:1902255","positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator",6,6,5.96,"0.00231"
"46","GO:0007204","positive regulation of cytosolic calcium ion concentration",193,191,191.81,"0.00238"
"47","GO:0060216","definitive hemopoiesis",24,24,23.85,"0.00248"
"48","GO:0002218","activation of innate immune response",35,35,34.78,"0.00256"
"49","GO:0046501","protoporphyrinogen IX metabolic process",5,2,4.97,"0.00265"
"50","GO:0031623","receptor internalization",95,91,94.42,"0.00270"
"51","GO:1904874","positive regulation of telomerase RNA localization to Cajal body",4,4,3.98,"0.00282"
"52","GO:0042769","DNA damage response, detection of DNA damage",8,8,7.95,"0.00286"
"53","GO:0097350","neutrophil clearance",4,4,3.98,"0.00286"
"54","GO:0006779","porphyrin-containing compound biosynthetic process",26,20,25.84,"0.00334"
"55","GO:0010821","regulation of mitochondrion organization",124,123,123.24,"0.00344"
"56","GO:0031648","protein destabilization",48,47,47.7,"0.00347"
"57","GO:0072672","neutrophil extravasation",14,14,13.91,"0.00352"
"58","GO:0090026","positive regulation of monocyte chemotaxis",15,15,14.91,"0.00354"
"59","GO:0150093","amyloid-beta clearance by transcytosis",7,7,6.96,"0.00371"
"60","GO:0000045","autophagosome assembly",90,88,89.45,"0.00373"
"61","GO:0030593","neutrophil chemotaxis",66,64,65.59,"0.00374"
"62","GO:0010742","macrophage derived foam cell differentiation",21,21,20.87,"0.00397"
"63","GO:0032024","positive regulation of insulin secretion",54,53,53.67,"0.00432"
"64","GO:0033119","negative regulation of RNA splicing",28,28,27.83,"0.00435"
"65","GO:0032092","positive regulation of protein binding",85,82,84.48,"0.00442"
"66","GO:0006412","translation",529,525,525.75,"0.00444"
"67","GO:0001878","response to yeast",5,5,4.97,"0.00449"
"68","GO:0007283","spermatogenesis",315,314,313.06,"0.00480"
"69","GO:0098761","cellular response to interleukin-7",17,17,16.9,"0.00482"
"70","GO:0033572","transferrin transport",9,8,8.94,"0.00483"
"71","GO:0032212","positive regulation of telomere maintenance via telomerase",30,30,29.82,"0.00492"
"72","GO:0032695","negative regulation of interleukin-12 production",17,17,16.9,"0.00496"
"73","GO:0150064","vertebrate eye-specific patterning",3,3,2.98,"0.00503"
"74","GO:0050821","protein stabilization",155,155,154.05,"0.00504"
"75","GO:0010608","posttranscriptional regulation of gene expression",403,398,400.52,"0.00515"
"76","GO:0030218","erythrocyte differentiation",122,116,121.25,"0.00543"
"77","GO:0051607","defense response to virus",197,196,195.79,"0.00547"
"78","GO:0045665","negative regulation of neuron differentiation",166,165,164.98,"0.00557"
"79","GO:0045947","negative regulation of translational initiation",14,14,13.91,"0.00607"
"80","GO:0046626","regulation of insulin receptor signaling pathway",56,55,55.66,"0.00620"
"81","GO:0019731","antibacterial humoral response",28,27,27.83,"0.00646"
"82","GO:0001934","positive regulation of protein phosphorylation",682,676,677.8,"0.00649"
"83","GO:0060337","type I interferon signaling pathway",35,35,34.78,"0.00660"
"84","GO:1903077","negative regulation of protein localization to plasma membrane",20,19,19.88,"0.00663"
"85","GO:0015990","electron transport coupled proton transport",5,5,4.97,"0.00680"
"86","GO:0071222","cellular response to lipopolysaccharide",139,138,138.14,"0.00709"
"87","GO:0080182","histone H3-K4 trimethylation",20,20,19.88,"0.00714"
"88","GO:0032720","negative regulation of tumor necrosis factor production",42,42,41.74,"0.00717"
"89","GO:1904646","cellular response to amyloid-beta",31,31,30.81,"0.00718"
"90","GO:0000028","ribosomal small subunit assembly",20,20,19.88,"0.00721"
"91","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",35,35,34.78,"0.00722"
"92","GO:0009991","response to extracellular stimulus",244,239,242.5,"0.00727"
"93","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway",83,82,82.49,"0.00738"
"94","GO:0000466","maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",24,24,23.85,"0.00758"
"95","GO:0033033","negative regulation of myeloid cell apoptotic process",16,16,15.9,"0.00765"
"96","GO:1903428","positive regulation of reactive oxygen species biosynthetic process",46,45,45.72,"0.00766"
"97","GO:0022027","interkinetic nuclear migration",8,8,7.95,"0.00779"
"98","GO:0032728","positive regulation of interferon-beta production",34,34,33.79,"0.00796"
"99","GO:0034773","histone H4-K20 trimethylation",6,6,5.96,"0.00797"
"100","GO:0000470","maturation of LSU-rRNA",28,28,27.83,"0.00804"
"101","GO:0045943","positive regulation of transcription by RNA polymerase I",21,21,20.87,"0.00832"
"102","GO:0019882","antigen processing and presentation",87,86,86.46,"0.00844"
"103","GO:0045071","negative regulation of viral genome replication",52,51,51.68,"0.00847"
"104","GO:0090307","mitotic spindle assembly",63,63,62.61,"0.00849"
"105","GO:0001812","positive regulation of type I hypersensitivity",5,5,4.97,"0.00854"
"106","GO:0045022","early endosome to late endosome transport",38,38,37.77,"0.00856"
"107","GO:0006417","regulation of translation",303,299,301.14,"0.00859"
"108","GO:0071557","histone H3-K27 demethylation",5,4,4.97,"0.00862"
"109","GO:0045766","positive regulation of angiogenesis",128,128,127.21,"0.00881"
"110","GO:0043065","positive regulation of apoptotic process",505,499,501.89,"0.00893"
"111","GO:2001034","positive regulation of double-strand break repair via nonhomologous end joining",15,15,14.91,"0.00895"
"112","GO:1904037","positive regulation of epithelial cell apoptotic process",29,29,28.82,"0.00896"
"113","GO:0097421","liver regeneration",10,10,9.94,"0.00915"
"114","GO:0001952","regulation of cell-matrix adhesion",87,87,86.46,"0.00917"
"115","GO:0019885","antigen processing and presentation of endogenous peptide antigen via MHC class I",17,16,16.9,"0.00920"
"116","GO:0022898","regulation of transmembrane transporter activity",166,163,164.98,"0.00929"
"117","GO:0090315","negative regulation of protein targeting to membrane",5,5,4.97,"0.00941"
"118","GO:0048813","dendrite morphogenesis",138,138,137.15,"0.00960"
"119","GO:0051409","response to nitrosative stress",9,9,8.94,"0.00971"
"120","GO:0051085","chaperone cofactor-dependent protein refolding",29,29,28.82,"0.00972"
"121","GO:0071156","regulation of cell cycle arrest",46,46,45.72,"0.00981"
"122","GO:1902236","negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway",18,17,17.89,"0.00981"
"123","GO:0030168","platelet activation",68,68,67.58,"0.00992"
"124","GO:0032731","positive regulation of interleukin-1 beta production",44,44,43.73,"0.01010"
"125","GO:0002282","microglial cell activation involved in immune response",4,4,3.98,"0.01032"
"126","GO:0150062","complement-mediated synapse pruning",4,4,3.98,"0.01032"
"127","GO:0042274","ribosomal small subunit biogenesis",69,69,68.58,"0.01042"
"128","GO:0006376","mRNA splice site selection",23,23,22.86,"0.01051"
"129","GO:0010594","regulation of endothelial cell migration",112,111,111.31,"0.01052"
"130","GO:0060765","regulation of androgen receptor signaling pathway",21,21,20.87,"0.01055"
"131","GO:2000279","negative regulation of DNA biosynthetic process",35,35,34.78,"0.01066"
"132","GO:0040012","regulation of locomotion",718,714,713.58,"0.01073"
"133","GO:1903659","regulation of complement-dependent cytotoxicity",7,7,6.96,"0.01090"
"134","GO:0032496","response to lipopolysaccharide",201,198,199.76,"0.01149"
"135","GO:0009636","response to toxic substance",82,82,81.5,"0.01159"
"136","GO:0034101","erythrocyte homeostasis",132,126,131.19,"0.01159"
"137","GO:0009308","amine metabolic process",60,59,59.63,"0.01164"
"138","GO:0045793","positive regulation of cell size",12,12,11.93,"0.01173"
"139","GO:0045893","positive regulation of transcription, DNA-templated",1107,1101,1100.19,"0.01179"
"140","GO:0019370","leukotriene biosynthetic process",11,11,10.93,"0.01185"
"141","GO:0006640","monoacylglycerol biosynthetic process",4,4,3.98,"0.01198"
"142","GO:0035523","protein K29-linked deubiquitination",3,3,2.98,"0.01207"
"143","GO:1990168","protein K33-linked deubiquitination",3,3,2.98,"0.01207"
"144","GO:0090666","scaRNA localization to Cajal body",5,5,4.97,"0.01217"
"145","GO:0043249","erythrocyte maturation",15,15,14.91,"0.01224"
"146","GO:1990258","histone glutamine methylation",3,3,2.98,"0.01240"
"147","GO:0051603","proteolysis involved in cellular protein catabolic process",618,614,614.2,"0.01248"
"148","GO:0010811","positive regulation of cell-substrate adhesion",89,89,88.45,"0.01271"
"149","GO:0050755","chemokine metabolic process",3,3,2.98,"0.01275"
"150","GO:0071733","transcriptional activation by promoter-enhancer looping",4,4,3.98,"0.01281"
"151","GO:0010587","miRNA catabolic process",9,9,8.94,"0.01307"
"152","GO:0051303","establishment of chromosome localization",66,66,65.59,"0.01349"
"153","GO:0046628","positive regulation of insulin receptor signaling pathway",16,15,15.9,"0.01401"
"154","GO:0150094","amyloid-beta clearance by cellular catabolic process",7,7,6.96,"0.01406"
"155","GO:1903238","positive regulation of leukocyte tethering or rolling",8,8,7.95,"0.01412"
"156","GO:0001774","microglial cell activation",40,39,39.75,"0.01420"
"157","GO:0031503","protein-containing complex localization",208,208,206.72,"0.01431"
"158","GO:0034379","very-low-density lipoprotein particle assembly",7,6,6.96,"0.01470"
"159","GO:0001818","negative regulation of cytokine production",199,197,197.78,"0.01486"
"160","GO:1901841","regulation of high voltage-gated calcium channel activity",10,10,9.94,"0.01491"
"161","GO:2000311","regulation of AMPA receptor activity",11,11,10.93,"0.01502"
"162","GO:0017148","negative regulation of translation",116,113,115.29,"0.01502"
"163","GO:0070213","protein auto-ADP-ribosylation",11,11,10.93,"0.01516"
"164","GO:0048143","astrocyte activation",17,17,16.9,"0.01531"
"165","GO:0045830","positive regulation of isotype switching",25,24,24.85,"0.01537"
"166","GO:0032467","positive regulation of cytokinesis",24,24,23.85,"0.01544"
"167","GO:1900223","positive regulation of amyloid-beta clearance",6,6,5.96,"0.01546"
"168","GO:0051081","nuclear envelope disassembly",5,5,4.97,"0.01574"
"169","GO:0060050","positive regulation of protein glycosylation",7,7,6.96,"0.01591"
"170","GO:0042026","protein refolding",17,16,16.9,"0.01621"
"171","GO:0021540","corpus callosum morphogenesis",6,6,5.96,"0.01631"
"172","GO:0055072","iron ion homeostasis",63,56,62.61,"0.01653"
"173","GO:1990379","lipid transport across blood-brain barrier",5,5,4.97,"0.01655"
"174","GO:0097150","neuronal stem cell population maintenance",15,15,14.91,"0.01678"
"175","GO:0032649","regulation of interferon-gamma production",86,86,85.47,"0.01690"
"176","GO:0050901","leukocyte tethering or rolling",22,21,21.86,"0.01701"
"177","GO:1904706","negative regulation of vascular associated smooth muscle cell proliferation",10,10,9.94,"0.01732"
"178","GO:0048261","negative regulation of receptor-mediated endocytosis",17,17,16.9,"0.01737"
"179","GO:0007143","female meiotic nuclear division",28,28,27.83,"0.01744"
"180","GO:0045601","regulation of endothelial cell differentiation",28,28,27.83,"0.01747"
"181","GO:1902958","positive regulation of mitochondrial electron transport, NADH to ubiquinone",3,3,2.98,"0.01750"
"182","GO:0045730","respiratory burst",24,24,23.85,"0.01752"
"183","GO:0000381","regulation of alternative mRNA splicing, via spliceosome",60,60,59.63,"0.01754"
"184","GO:0031638","zymogen activation",33,33,32.8,"0.01760"
"185","GO:0045647","negative regulation of erythrocyte differentiation",11,11,10.93,"0.01770"
"186","GO:0035336","long-chain fatty-acyl-CoA metabolic process",10,10,9.94,"0.01779"
"187","GO:0042254","ribosome biogenesis",281,281,279.27,"0.01780"
"188","GO:1901380","negative regulation of potassium ion transmembrane transport",15,15,14.91,"0.01798"
"189","GO:0097242","amyloid-beta clearance",31,31,30.81,"0.01815"
"190","GO:1901998","toxin transport",34,33,33.79,"0.01822"
"191","GO:0006826","iron ion transport",38,35,37.77,"0.01830"
"192","GO:1902033","regulation of hematopoietic stem cell proliferation",8,8,7.95,"0.01838"
"193","GO:0010999","regulation of eIF2 alpha phosphorylation by heme",2,0,1.99,"0.01873"
"194","GO:0007000","nucleolus organization",7,7,6.96,"0.01892"
"195","GO:0061038","uterus morphogenesis",3,3,2.98,"0.01921"
"196","GO:0006658","phosphatidylserine metabolic process",11,11,10.93,"0.01923"
"197","GO:0021678","third ventricle development",5,5,4.97,"0.01924"
"198","GO:0051572","negative regulation of histone H3-K4 methylation",7,7,6.96,"0.01943"
"199","GO:0072488","ammonium transmembrane transport",4,3,3.98,"0.01981"
"200","GO:0010560","positive regulation of glycoprotein biosynthetic process",19,19,18.88,"0.01985"
"201","GO:0010310","regulation of hydrogen peroxide metabolic process",12,11,11.93,"0.01988"
"202","GO:0070365","hepatocyte differentiation",8,8,7.95,"0.02004"
"203","GO:0001782","B cell homeostasis",36,36,35.78,"0.02005"
"204","GO:0098656","anion transmembrane transport",134,131,133.18,"0.02022"
"205","GO:0060235","lens induction in camera-type eye",3,2,2.98,"0.02039"
"206","GO:0033353","S-adenosylmethionine cycle",4,4,3.98,"0.02062"
"207","GO:0051256","mitotic spindle midzone assembly",6,6,5.96,"0.02062"
"208","GO:0044030","regulation of DNA methylation",23,23,22.86,"0.02072"
"209","GO:0043371","negative regulation of CD4-positive, alpha-beta T cell differentiation",18,18,17.89,"0.02073"
"210","GO:0007623","circadian rhythm",147,147,146.1,"0.02138"
"211","GO:0045578","negative regulation of B cell differentiation",3,3,2.98,"0.02146"
"212","GO:0045471","response to ethanol",37,37,36.77,"0.02150"
"213","GO:0015793","glycerol transport",2,2,1.99,"0.02166"
"214","GO:0050860","negative regulation of T cell receptor signaling pathway",18,18,17.89,"0.02171"
"215","GO:0070488","neutrophil aggregation",3,2,2.98,"0.02173"
"216","GO:0002793","positive regulation of peptide secretion",148,146,147.09,"0.02173"
"217","GO:0001805","positive regulation of type III hypersensitivity",4,4,3.98,"0.02215"
"218","GO:0003084","positive regulation of systemic arterial blood pressure",8,8,7.95,"0.02223"
"219","GO:0032691","negative regulation of interleukin-1 beta production",15,15,14.91,"0.02224"
"220","GO:1902751","positive regulation of cell cycle G2/M phase transition",28,28,27.83,"0.02226"
"221","GO:1900227","positive regulation of NLRP3 inflammasome complex assembly",8,8,7.95,"0.02227"
"222","GO:0045814","negative regulation of gene expression, epigenetic",77,77,76.53,"0.02230"
"223","GO:2000726","negative regulation of cardiac muscle cell differentiation",16,15,15.9,"0.02238"
"224","GO:0030879","mammary gland development",88,88,87.46,"0.02244"
"225","GO:0061739","protein lipidation involved in autophagosome assembly",4,4,3.98,"0.02266"
"226","GO:0021861","forebrain radial glial cell differentiation",6,6,5.96,"0.02283"
"227","GO:0009611","response to wounding",323,323,321.01,"0.02294"
"228","GO:0007608","sensory perception of smell",49,49,48.7,"0.02298"
"229","GO:0061092","positive regulation of phospholipid translocation",3,3,2.98,"0.02302"
"230","GO:0045736","negative regulation of cyclin-dependent protein serine/threonine kinase activity",19,19,18.88,"0.02302"
"231","GO:0018149","peptide cross-linking",15,15,14.91,"0.02312"
"232","GO:1905114","cell surface receptor signaling pathway involved in cell-cell signaling",334,332,331.95,"0.02318"
"233","GO:1900122","positive regulation of receptor binding",7,7,6.96,"0.02319"
"234","GO:0097011","cellular response to granulocyte macrophage colony-stimulating factor stimulus",10,10,9.94,"0.02339"
"235","GO:0071288","cellular response to mercury ion",2,2,1.99,"0.02340"
"236","GO:0006338","chromatin remodeling",143,143,142.12,"0.02353"
"237","GO:0002903","negative regulation of B cell apoptotic process",12,12,11.93,"0.02365"
"238","GO:0010942","positive regulation of cell death",554,548,550.59,"0.02380"
"239","GO:1903608","protein localization to cytoplasmic stress granule",7,7,6.96,"0.02393"
"240","GO:0070936","protein K48-linked ubiquitination",58,58,57.64,"0.02396"
"241","GO:0003383","apical constriction",5,5,4.97,"0.02401"
"242","GO:0035574","histone H4-K20 demethylation",2,1,1.99,"0.02413"
"243","GO:0030890","positive regulation of B cell proliferation",39,38,38.76,"0.02414"
"244","GO:0001516","prostaglandin biosynthetic process",20,20,19.88,"0.02418"
"245","GO:0040016","embryonic cleavage",7,7,6.96,"0.02430"
"246","GO:1900038","negative regulation of cellular response to hypoxia",8,8,7.95,"0.02430"
"247","GO:1990748","cellular detoxification",31,31,30.81,"0.02436"
"248","GO:0001570","vasculogenesis",60,60,59.63,"0.02447"
"249","GO:2000369","regulation of clathrin-dependent endocytosis",14,14,13.91,"0.02467"
"250","GO:0042493","response to drug",150,147,149.08,"0.02472"
"251","GO:0060306","regulation of membrane repolarization",17,17,16.9,"0.02482"
"252","GO:0015823","phenylalanine transport",2,2,1.99,"0.02485"
"253","GO:0046777","protein autophosphorylation",200,198,198.77,"0.02503"
"254","GO:0071539","protein localization to centrosome",35,35,34.78,"0.02503"
"255","GO:0045123","cellular extravasation",60,59,59.63,"0.02508"
"256","GO:0035616","histone H2B conserved C-terminal lysine deubiquitination",4,4,3.98,"0.02510"
"257","GO:0090148","membrane fission",14,14,13.91,"0.02521"
"258","GO:0043353","enucleate erythrocyte differentiation",8,8,7.95,"0.02527"
"259","GO:0014737","positive regulation of muscle atrophy",2,2,1.99,"0.02563"
"260","GO:0060298","positive regulation of sarcomere organization",2,2,1.99,"0.02563"
"261","GO:0008104","protein localization",2112,2099,2099.01,"0.02565"
"262","GO:0051930","regulation of sensory perception of pain",26,26,25.84,"0.02570"
"263","GO:0035425","autocrine signaling",7,6,6.96,"0.02573"
"264","GO:0007611","learning or memory",163,161,162,"0.02574"
"265","GO:0051222","positive regulation of protein transport",261,259,259.39,"0.02577"
"266","GO:0060054","positive regulation of epithelial cell proliferation involved in wound healing",5,5,4.97,"0.02578"
"267","GO:0044838","cell quiescence",3,3,2.98,"0.02586"
"268","GO:0001667","ameboidal-type cell migration",294,292,292.19,"0.02601"
"269","GO:0045069","regulation of viral genome replication",84,82,83.48,"0.02612"
"270","GO:1900273","positive regulation of long-term synaptic potentiation",18,17,17.89,"0.02622"
"271","GO:0009749","response to glucose",120,119,119.26,"0.02627"
"272","GO:0010955","negative regulation of protein processing",24,24,23.85,"0.02632"
"273","GO:0006301","postreplication repair",25,25,24.85,"0.02641"
"274","GO:0048025","negative regulation of mRNA splicing, via spliceosome",23,23,22.86,"0.02648"
"275","GO:0071277","cellular response to calcium ion",50,50,49.69,"0.02666"
"276","GO:0006957","complement activation, alternative pathway",5,5,4.97,"0.02670"
"277","GO:0007035","vacuolar acidification",20,19,19.88,"0.02675"
"278","GO:1900168","positive regulation of glial cell-derived neurotrophic factor secretion",2,2,1.99,"0.02688"
"279","GO:1902963","negative regulation of metalloendopeptidase activity involved in amyloid precursor protein catabolic process",2,2,1.99,"0.02688"
"280","GO:1902948","negative regulation of tau-protein kinase activity",2,2,1.99,"0.02688"
"281","GO:0060586","multicellular organismal iron ion homeostasis",8,7,7.95,"0.02692"
"282","GO:0033128","negative regulation of histone phosphorylation",2,2,1.99,"0.02721"
"283","GO:0034395","regulation of transcription from RNA polymerase II promoter in response to iron",3,3,2.98,"0.02724"
"284","GO:0016479","negative regulation of transcription by RNA polymerase I",7,7,6.96,"0.02724"
"285","GO:0046597","negative regulation of viral entry into host cell",19,19,18.88,"0.02725"
"286","GO:0031340","positive regulation of vesicle fusion",8,7,7.95,"0.02740"
"287","GO:0033138","positive regulation of peptidyl-serine phosphorylation",75,72,74.54,"0.02746"
"288","GO:0006104","succinyl-CoA metabolic process",4,4,3.98,"0.02749"
"289","GO:0031133","regulation of axon diameter",2,2,1.99,"0.02759"
"290","GO:0010523","negative regulation of calcium ion transport into cytosol",10,10,9.94,"0.02761"
"291","GO:0060244","negative regulation of cell proliferation involved in contact inhibition",4,4,3.98,"0.02768"
"292","GO:0043484","regulation of RNA splicing",132,132,131.19,"0.02770"
"293","GO:0090435","protein localization to nuclear envelope",10,10,9.94,"0.02781"
"294","GO:0071353","cellular response to interleukin-4",27,27,26.83,"0.02789"
"295","GO:0042063","gliogenesis",224,222,222.62,"0.02798"
"296","GO:0060213","positive regulation of nuclear-transcribed mRNA poly(A) tail shortening",12,11,11.93,"0.02824"
"297","GO:0140039","cell-cell adhesion in response to extracellular stimulus",2,2,1.99,"0.02842"
"298","GO:0006880","intracellular sequestering of iron ion",2,2,1.99,"0.02845"
"299","GO:1900087","positive regulation of G1/S transition of mitotic cell cycle",34,34,33.79,"0.02874"
"300","GO:0035457","cellular response to interferon-alpha",12,12,11.93,"0.02884"
"301","GO:0097120","receptor localization to synapse",47,47,46.71,"0.02895"
"302","GO:0018027","peptidyl-lysine dimethylation",18,18,17.89,"0.02899"
"303","GO:0006534","cysteine metabolic process",9,9,8.94,"0.02910"
"304","GO:0009408","response to heat",71,71,70.56,"0.02912"
"305","GO:0015670","carbon dioxide transport",4,3,3.98,"0.02912"
"306","GO:0018076","N-terminal peptidyl-lysine acetylation",4,4,3.98,"0.02966"
"307","GO:0001974","blood vessel remodeling",35,35,34.78,"0.02971"
"308","GO:0007021","tubulin complex assembly",6,5,5.96,"0.02979"
"309","GO:0061903","positive regulation of 1-phosphatidylinositol-3-kinase activity",2,2,1.99,"0.03009"
"310","GO:0007176","regulation of epidermal growth factor-activated receptor activity",21,21,20.87,"0.03009"
"311","GO:0006370","7-methylguanosine mRNA capping",7,7,6.96,"0.03016"
"312","GO:0070947","neutrophil-mediated killing of fungus",3,3,2.98,"0.03025"
"313","GO:0032729","positive regulation of interferon-gamma production",60,60,59.63,"0.03034"
"314","GO:0007093","mitotic cell cycle checkpoint",121,120,120.26,"0.03039"
"315","GO:0002485","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent",3,3,2.98,"0.03070"
"316","GO:0034088","maintenance of mitotic sister chromatid cohesion",12,12,11.93,"0.03071"
"317","GO:0046688","response to copper ion",17,16,16.9,"0.03073"
"318","GO:0055096","low-density lipoprotein particle mediated signaling",2,2,1.99,"0.03074"
"319","GO:0002183","cytoplasmic translational initiation",25,25,24.85,"0.03109"
"320","GO:0008284","positive regulation of cell population proliferation",658,652,653.95,"0.03115"
"321","GO:0022408","negative regulation of cell-cell adhesion",143,142,142.12,"0.03131"
"322","GO:0050885","neuromuscular process controlling balance",43,42,42.74,"0.03176"
"323","GO:1902216","positive regulation of interleukin-4-mediated signaling pathway",2,2,1.99,"0.03201"
"324","GO:0051056","regulation of small GTPase mediated signal transduction",222,219,220.63,"0.03201"
"325","GO:0046602","regulation of mitotic centrosome separation",8,8,7.95,"0.03213"
"326","GO:0046685","response to arsenic-containing substance",23,23,22.86,"0.03216"
"327","GO:0000462","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",34,34,33.79,"0.03225"
"328","GO:0010867","positive regulation of triglyceride biosynthetic process",15,15,14.91,"0.03234"
"329","GO:0001953","negative regulation of cell-matrix adhesion",27,27,26.83,"0.03256"
"330","GO:0050900","leukocyte migration",262,259,260.39,"0.03268"
"331","GO:0050732","negative regulation of peptidyl-tyrosine phosphorylation",45,45,44.72,"0.03282"
"332","GO:0048026","positive regulation of mRNA splicing, via spliceosome",23,23,22.86,"0.03285"
"333","GO:0046784","viral mRNA export from host cell nucleus",7,7,6.96,"0.03289"
"334","GO:0030511","positive regulation of transforming growth factor beta receptor signaling pathway",25,25,24.85,"0.03309"
"335","GO:0032651","regulation of interleukin-1 beta production",63,63,62.61,"0.03322"
"336","GO:1903214","regulation of protein targeting to mitochondrion",15,15,14.91,"0.03338"
"337","GO:0098869","cellular oxidant detoxification",20,20,19.88,"0.03345"
"338","GO:0006407","rRNA export from nucleus",2,2,1.99,"0.03354"
"339","GO:0045815","positive regulation of gene expression, epigenetic",28,28,27.83,"0.03356"
"340","GO:0060715","syncytiotrophoblast cell differentiation involved in labyrinthine layer development",2,2,1.99,"0.03362"
"341","GO:0006689","ganglioside catabolic process",5,5,4.97,"0.03362"
"342","GO:0020027","hemoglobin metabolic process",15,12,14.91,"0.03363"
"343","GO:0030449","regulation of complement activation",12,12,11.93,"0.03369"
"344","GO:0031952","regulation of protein autophosphorylation",40,40,39.75,"0.03374"
"345","GO:1904591","positive regulation of protein import",51,51,50.69,"0.03397"
"346","GO:0035811","negative regulation of urine volume",4,4,3.98,"0.03422"
"347","GO:2001240","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand",22,21,21.86,"0.03427"
"348","GO:0071349","cellular response to interleukin-12",4,4,3.98,"0.03428"
"349","GO:0019371","cyclooxygenase pathway",3,3,2.98,"0.03432"
"350","GO:0046599","regulation of centriole replication",20,20,19.88,"0.03443"
"351","GO:0018108","peptidyl-tyrosine phosphorylation",231,231,229.58,"0.03458"
"352","GO:0070542","response to fatty acid",36,36,35.78,"0.03461"
"353","GO:0002553","histamine secretion by mast cell",6,6,5.96,"0.03474"
